Award,Movie,Nominee,Detail
ACTOR IN A LEADING ROLE,Vice,CHRISTIAN BALE,Vice
ACTOR IN A LEADING ROLE,A Star Is Born,BRADLEY COOPER,A Star Is Born
ACTOR IN A LEADING ROLE,At Eternity's Gate,WILLEM DAFOE,At Eternity's Gate
ACTOR IN A LEADING ROLE,Bohemian Rhapsody,RAMI MALEK,Bohemian Rhapsody
ACTOR IN A LEADING ROLE,Green Book,VIGGO MORTENSEN,Green Book
ACTOR IN A SUPPORTING ROLE,Green Book,MAHERSHALA ALI,Green Book
ACTOR IN A SUPPORTING ROLE,BlacKkKlansman,ADAM DRIVER,BlacKkKlansman
m,A Star Is Born,SAM ELLIOTT,A Star Is Born
ACTOR IN A SUPPORTING ROLE,Can You Ever Forgive Me?,RICHARD E. GRANT,Can You Ever Forgive Me?
ACTOR IN A SUPPORTING ROLE,Vice,SAM ROCKWELL,Vice
ACTRESS IN A LEADING ROLE,Roma,YALITZA APARICIO,Roma
ACTRESS IN A LEADING ROLE,The Wife,GLENN CLOSE,The Wife
ACTRESS IN A LEADING ROLE,The Favourite,OLIVIA COLMAN,The Favourite
ACTRESS IN A LEADING ROLE,A Star Is Born,LADY GAGA,A Star Is Born
ACTRESS IN A LEADING ROLE,Can You Ever Forgive Me?,MELISSA MCCARTHY,Can You Ever Forgive Me?
ACTRESS IN A SUPPORTING ROLE,Vice,AMY ADAMS,Vice
ACTRESS IN A SUPPORTING ROLE,Roma,MARINA DE TAVIRA,Roma
ACTRESS IN A SUPPORTING ROLE,If Beale Street Could Talk,REGINA KING,If Beale Street Could Talk
ACTRESS IN A SUPPORTING ROLE,The Favourite,EMMA STONE,The Favourite
ACTRESS IN A SUPPORTING ROLE,The Favourite,RACHEL WEISZ,The Favourite
ANIMATED FEATURE FILM,INCREDIBLES 2,INCREDIBLES 2,"Brad Bird, John Walker and Nicole Paradis Grindle"
ANIMATED FEATURE FILM,ISLE OF DOGS,ISLE OF DOGS,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson"
ANIMATED FEATURE FILM,MIRAI,MIRAI,Mamoru Hosoda and Yuichiro Saito
ANIMATED FEATURE FILM,RALPH BREAKS THE INTERNET,RALPH BREAKS THE INTERNET,"Rich Moore, Phil Johnston and Clark Spencer"
ANIMATED FEATURE FILM,SPIDER-MAN: INTO THE SPIDER-VERSE,SPIDER-MAN: INTO THE SPIDER-VERSE,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller"
CINEMATOGRAPHY,COLD WAR,COLD WAR,Łukasz Żal
CINEMATOGRAPHY,THE FAVOURITE,THE FAVOURITE,Robbie Ryan
CINEMATOGRAPHY,NEVER LOOK AWAY,NEVER LOOK AWAY,Caleb Deschanel
CINEMATOGRAPHY,ROMA,ROMA,Alfonso Cuarón
CINEMATOGRAPHY,A STAR IS BORN,A STAR IS BORN,Matthew Libatique
COSTUME DESIGN,THE BALLAD OF BUSTER SCRUGGS,THE BALLAD OF BUSTER SCRUGGS,Mary Zophres
COSTUME DESIGN,BLACK PANTHER,BLACK PANTHER,Ruth Carter
COSTUME DESIGN,THE FAVOURITE,THE FAVOURITE,Sandy Powell
COSTUME DESIGN,MARY POPPINS RETURNS,MARY POPPINS RETURNS,Sandy Powell
COSTUME DESIGN,MARY QUEEN OF SCOTS,MARY QUEEN OF SCOTS,Alexandra Byrne
DIRECTING,BLACKKKLANSMAN,BLACKKKLANSMAN,Spike Lee
DIRECTING,COLD WAR,COLD WAR,Paweł Pawlikowski
DIRECTING,THE FAVOURITE,THE FAVOURITE,Yorgos Lanthimos
DIRECTING,ROMA,ROMA,Alfonso Cuarón
DIRECTING,VICE,VICE,Adam McKay
DOCUMENTARY (FEATURE),FREE SOLO,FREE SOLO,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill"
DOCUMENTARY (FEATURE),"HALE COUNTY THIS MORNING, THIS EVENING","HALE COUNTY THIS MORNING, THIS EVENING","RaMell Ross, Joslyn Barnes and Su Kim"
DOCUMENTARY (FEATURE),MINDING THE GAP,MINDING THE GAP,Bing Liu and Diane Quon
DOCUMENTARY (FEATURE),OF FATHERS AND SONS,OF FATHERS AND SONS,"Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert"
DOCUMENTARY (FEATURE),RBG,RBG,Betsy West and Julie Cohen
DOCUMENTARY (SHORT SUBJECT),BLACK SHEEP,BLACK SHEEP,Ed Perkins and Jonathan Chinn
DOCUMENTARY (SHORT SUBJECT),END GAME,END GAME,Rob Epstein and Jeffrey Friedman
DOCUMENTARY (SHORT SUBJECT),LIFEBOAT,LIFEBOAT,Skye Fitzgerald and Bryn Mooser
DOCUMENTARY (SHORT SUBJECT),A NIGHT AT THE GARDEN,A NIGHT AT THE GARDEN,Marshall Curry
DOCUMENTARY (SHORT SUBJECT),PERIOD. END OF SENTENCE.,PERIOD. END OF SENTENCE.,Rayka Zehtabchi and Melissa Berton
FILM EDITING,BLACKKKLANSMAN,BLACKKKLANSMAN,Barry Alexander Brown
FILM EDITING,BOHEMIAN RHAPSODY,BOHEMIAN RHAPSODY,John Ottman
FILM EDITING,THE FAVOURITE,THE FAVOURITE,Yorgos Mavropsaridis
FILM EDITING,GREEN BOOK,GREEN BOOK,Patrick J. Don Vito
FILM EDITING,VICE,VICE,Hank Corwin
FOREIGN LANGUAGE FILM,CAPERNAUM,CAPERNAUM,Lebanon
FOREIGN LANGUAGE FILM,COLD WAR,COLD WAR,Poland
FOREIGN LANGUAGE FILM,NEVER LOOK AWAY,NEVER LOOK AWAY,Germany
FOREIGN LANGUAGE FILM,ROMA,ROMA,Mexico
FOREIGN LANGUAGE FILM,SHOPLIFTERS,SHOPLIFTERS,Japan
MAKEUP AND HAIRSTYLING,BORDER,BORDER,Göran Lundström and Pamela Goldammer
MAKEUP AND HAIRSTYLING,MARY QUEEN OF SCOTS,MARY QUEEN OF SCOTS,"Jenny Shircore, Marc Pilcher and Jessica Brooks"
MAKEUP AND HAIRSTYLING,VICE,VICE,"Greg Cannom, Kate Biscoe and Patricia DeHaney"
MUSIC (ORIGINAL SCORE),BLACK PANTHER,BLACK PANTHER,Ludwig Goransson
MUSIC (ORIGINAL SCORE),BLACKKKLANSMAN,BLACKKKLANSMAN,Terence Blanchard
MUSIC (ORIGINAL SCORE),IF BEALE STREET COULD TALK,IF BEALE STREET COULD TALK,Nicholas Britell
MUSIC (ORIGINAL SCORE),ISLE OF DOGS,ISLE OF DOGS,Alexandre Desplat
MUSIC (ORIGINAL SCORE),MARY POPPINS RETURNS,MARY POPPINS RETURNS,Marc Shaiman
MUSIC (ORIGINAL SONG),BLACK PANTHER,ALL THE STARS,"from Black Panther; Music by Mark Spears, Kendrick Lamar Duckworth and Anthony Tiffith; Lyric by Kendrick Lamar Duckworth, Anthony Tiffith and Solana Rowe"
MUSIC (ORIGINAL SONG),RBG,I'LL FIGHT,from RBG; Music and Lyric by Diane Warren
MUSIC (ORIGINAL SONG),MARY POPPINS RETURNS,THE PLACE WHERE LOST THINGS GO,from Mary Poppins Returns; Music by Marc Shaiman; Lyric by Scott Wittman and Marc Shaiman
MUSIC (ORIGINAL SONG),A STAR IS BORN,SHALLOW,"from A Star Is Born; Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt"
MUSIC (ORIGINAL SONG),THE BALLAD OF BUSTER SCRUGGS,WHEN A COWBOY TRADES HIS SPURS FOR WINGS,from The Ballad of Buster Scruggs; Music and Lyric by David Rawlings and Gillian Welch
BEST PICTURE,BLACK PANTHER,BLACK PANTHER,"Kevin Feige, Producer"
BEST PICTURE,BLACKKKLANSMAN,BLACKKKLANSMAN,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers"
BEST PICTURE,BOHEMIAN RHAPSODY,BOHEMIAN RHAPSODY,"Graham King, Producer"
BEST PICTURE,THE FAVOURITE,THE FAVOURITE,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers"
BEST PICTURE,GREEN BOOK,GREEN BOOK,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers"
BEST PICTURE,ROMA,ROMA,"Gabriela Rodríguez and Alfonso Cuarón, Producers"
BEST PICTURE,A STAR IS BORN,A STAR IS BORN,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers"
BEST PICTURE,VICE,VICE,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers"
PRODUCTION DESIGN,BLACK PANTHER,BLACK PANTHER,Production Design: Hannah Beachler; Set Decoration: Jay Hart
PRODUCTION DESIGN,THE FAVOURITE,THE FAVOURITE,Production Design: Fiona Crombie; Set Decoration: Alice Felton
PRODUCTION DESIGN,FIRST MAN,FIRST MAN,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas
PRODUCTION DESIGN,MARY POPPINS RETURNS,MARY POPPINS RETURNS,Production Design: John Myhre; Set Decoration: Gordon Sim
PRODUCTION DESIGN,ROMA,ROMA,Production Design: Eugenio Caballero; Set Decoration: Bárbara Enríquez
SHORT FILM (ANIMATED),ANIMAL BEHAVIOUR,ANIMAL BEHAVIOUR,Alison Snowden and David Fine
SHORT FILM (ANIMATED),BAO,BAO,Domee Shi and Becky Neiman-Cobb
SHORT FILM (ANIMATED),LATE AFTERNOON,LATE AFTERNOON,Louise Bagnall and Nuria González Blanco
SHORT FILM (ANIMATED),ONE SMALL STEP,ONE SMALL STEP,Andrew Chesworth and Bobby Pontillas
SHORT FILM (ANIMATED),WEEKENDS,WEEKENDS,Trevor Jimenez
SHORT FILM (LIVE ACTION),DETAINMENT,DETAINMENT,Vincent Lambe and Darren Mahon
SHORT FILM (LIVE ACTION),FAUVE,FAUVE,Jeremy Comte and Maria Gracia Turgeon
SHORT FILM (LIVE ACTION),MARGUERITE,MARGUERITE,Marianne Farley and Marie-Hélène Panisset
SHORT FILM (LIVE ACTION),MOTHER,MOTHER,Rodrigo Sorogoyen and María del Puy Alvarado
SHORT FILM (LIVE ACTION),SKIN,SKIN,Guy Nattiv and Jaime Ray Newman
SOUND EDITING,BLACK PANTHER,BLACK PANTHER,Benjamin A. Burtt and Steve Boeddeker
